"","x"
"1",3
"2",7
"3",4
"4",7
"5",9
"6",4
"7",1
"8",4
"9",5
"10",1
"11",4
"12",5
"13",7
"14",2
"15",9
"16",4
"17",4
"18",7
"19",9
"20",6
"21",7
"22",7
"23",7
"24",7
"25",3
"26",9
"27",8
"28",4
"29",5
"30",6
"31",1
"32",4
"33",5
"34",8
"35",3
"36",4
"37",4
"38",7
"39",7
"40",8
"41",4
"42",5
"43",9
"44",7
"45",7
"46",5
"47",9
"48",1
"49",9
"50",5
"51",7
"52",7
"53",3
"54",7
"55",4
"56",1
"57",8
"58",7
"59",9
"60",5
"61",7
"62",9
"63",5
"64",4
"65",9
"66",9
"67",5
"68",7
"69",7
"70",7
"71",3
"72",5
"73",7
"74",8
"75",5
"76",9
"77",7
"78",6
"79",9
"80",9
"81",8
"82",6
"83",7
"84",7
"85",1
"86",7
"87",5
"88",7
"89",8
"90",9
"91",9
"92",3
"93",9
"94",9
"95",9
"96",9
"97",4
"98",3
"99",8
"100",5
"101",7
"102",9
"103",4
"104",5
"105",5
"106",1
"107",5
"108",4
"109",9
"110",5
"111",1
"112",1
"113",6
"114",4
"115",9
"116",2
"117",4
"118",7
"119",9
"120",5
"121",5
"122",3
"123",7
"124",7
"125",9
"126",6
"127",7
"128",6
"129",1
"130",9
"131",9
"132",7
"133",4
"134",9
"135",9
"136",1
"137",7
"138",1
"139",4
"140",4
"141",5
"142",3
"143",5
"144",9
"145",7
"146",9
"147",8
"148",9
"149",9
"150",5
"151",4
"152",3
"153",7
"154",9
"155",5
"156",5
"157",5
"158",4
"159",1
"160",9
"161",5
"162",9
"163",5
"164",5
"165",4
"166",5
"167",7
"168",7
"169",4
"170",7
"171",5
"172",7
"173",3
"174",1
"175",4
"176",9
"177",7
"178",1
"179",6
"180",4
"181",9
"182",7
"183",9
"184",7
"185",7
"186",7
"187",1
"188",6
"189",4
"190",7
"191",7
"192",1
"193",3
"194",1
"195",4
"196",1
"197",5
"198",8
"199",9
"200",7
