"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"00_12","all_other",0.8487208550628,0.635273587678258,1.11534706313455,0.268488021586375,58,517,24568,185871,0.570240045847168
"00_03","all_other",0.795540398092402,0.606128732306277,1.028788020475,0.0832646317252749,65,618,24561,185770,0.288101432439387
"00_01","all_other",0.42987256060883,0.293005310925211,0.610786748927897,1.3763151411247e-07,33,580,24593,185808,1.65157816934964e-05
"00_09","all_other",0.607320953129888,0.459817223526736,0.789274406738967,8.27319175616261e-05,61,759,24565,185629,0.00283652288782718
"00_07","all_other",0.646246051638198,0.478503908731152,0.856626577526948,0.00171425299145301,53,620,24573,185768,0.0272558542162412
"00_02","all_other",1.05898628751461,0.781047287588272,1.41114614791653,0.65621190211145,54,386,24572,186002,0.855928567971457
"00_08","all_other",0.531786961399389,0.388159573915328,0.713318291435207,5.98230749906664e-06,48,682,24578,185706,0.000358938449943998
"00_05","all_other",0.695327565476198,0.471219518282711,0.994772658427638,0.0485021825138042,33,359,24593,186029,0.211473259382243
"00_06","all_other",0.69909586974287,0.501072133463226,0.953511053355429,0.0237130497909174,44,476,24582,185912,0.132351905809772
"00_04","all_other",0.705443179520614,0.516851454098133,0.944019724860405,0.016960715793314,50,536,24576,185852,0.118088494812639
"00_10","all_other",0.668989111192348,0.461843813864616,0.942050617830695,0.0177132742218958,36,407,24590,185981,0.118088494812639
"00_11","all_other",0.636492337115997,0.283266044833333,1.25441291702181,0.245367717035461,9,107,24617,186281,0.540259193472574
"05_03","all_other",0.696866816462759,0.532954122677558,0.897912084471911,0.0043501552650946,66,716,24560,185672,0.043501552650946
"05_02","all_other",0.691690173154035,0.53340907269306,0.884657377092487,0.00244878703923458,70,765,24556,185623,0.0272621980570189
"05_08","all_other",0.830507228868243,0.643948641302513,1.05740653851266,0.137899724772648,74,674,24552,185714,0.380413033855581
"05_05","all_other",0.905045793211785,0.717785708986464,1.12935121132062,0.417128681133288,89,744,24537,185644,0.710006265758787
"05_01","all_other",0.711357103976797,0.539015262176386,0.924232901172595,0.00885906803804217,62,659,24564,185729,0.0708725443043373
"05_10","all_other",0.958400186989406,0.782072480806478,1.16532593628274,0.696385197799213,115,908,24511,185480,0.870925793465972
"05_09","all_other",0.751870197793455,0.57928705828475,0.962586001804682,0.0213984009181274,70,704,24556,185684,0.131057844282974
"05_04","all_other",0.153214930105222,0.0557787881664927,0.337555146478526,7.59786442966348e-10,6,296,24620,186092,1.82348746311923e-07
"05_06","all_other",0.429009568955303,0.288534288976576,0.616344365808871,3.31984007223118e-07,31,546,24595,185842,2.65587205778495e-05
"05_07","all_other",0.931865763680626,0.69655470827583,1.22648015648786,0.683989865743037,58,471,24568,185917,0.870925793465972
"05_11","all_other",0.780797932057311,0.404477306968321,1.38439837419527,0.507596715634982,13,126,24613,186262,0.769913357431259
"10_02","all_other",0.862444135635322,0.693861735813441,1.06218333201436,0.17728371094921,100,877,24526,185511,0.44586802756695
"10_11","all_other",0.842401486241373,0.695330868347676,1.01321063733277,0.0717954610310245,127,1140,24499,185248,0.26107440374918
"10_04","all_other",0.567619881669809,0.42678574727362,0.742047473974538,8.39984571355282e-06,58,772,24568,185616,0.000403192594250535
"10_05","all_other",0.976539535290589,0.758353373410888,1.24222057187589,0.90371031505343,76,589,24550,185799,0.968261051842961
"10_08","all_other",0.650118803160983,0.470041417460024,0.879778353822262,0.00356417858876137,46,535,24580,185853,0.0371914287522926
"10_01","all_other",0.485188707046457,0.278373663098025,0.791969384062015,0.00206656484074934,17,265,24609,186123,0.0272558542162412
"10_12","all_other",0.655827672224961,0.488374240378415,0.864974845848571,0.00195091445392905,55,634,24571,185754,0.0272558542162412
"10_03","all_other",0.900383164367543,0.733139140248499,1.09678685326507,0.312374940545452,112,941,24514,185447,0.609512079113077
"10_09","all_other",1.00918484599401,0.730380386984802,1.36713096160725,0.938466955692051,48,360,24578,186028,0.975030603316417
"10_10","all_other",0.884166132885616,0.66653657109846,1.15479602672893,0.400968030651109,61,522,24565,185866,0.693464522514733
"10_06","all_other",1.78938453784613,0.896623880858297,3.31815097710439,0.0850184511817705,13,55,24613,186333,0.288101432439387
"10_07","all_other",0,0,293.830574570265,1,0,1,24626,186387,1
"15_02","all_other",1.02563134578646,0.747286709060288,1.38128105249346,0.878830282423543,50,369,24576,186019,0.962245496023069
"15_05","all_other",0.981609000794782,0.752220379876994,1.26381485757939,0.949268606425412,69,532,24557,185856,0.982002006646978
"15_11","all_other",1.1698733238371,0.858620720354979,1.56647766672894,0.273476473012479,53,343,24573,186045,0.575739943184165
"15_09","all_other",0.846489420628361,0.660832107636411,1.07137282090245,0.17834721102678,78,697,24548,185691,0.44586802756695
"15_08","all_other",0.865072627457646,0.649037215689766,1.13451104992609,0.328958748415977,59,516,24567,185872,0.626588092220909
"15_06","all_other",0.858717470315104,0.642652268249376,1.12869010563249,0.295562131080064,58,511,24568,185877,0.595322611834759
"15_10","all_other",0.78966970018192,0.590025176793595,1.03903981035168,0.0982941704985545,57,546,24569,185842,0.306371440514975
"15_12","all_other",0.764700674943589,0.568432983986386,1.01069901358469,0.0641980215850905,55,544,24571,185844,0.244563891752726
"15_01","all_other",1.15639695559613,0.919107072112203,1.44103792221284,0.195019599780813,93,609,24533,185779,0.477599019871379
"15_13","all_other",0.883498475622769,0.726594648905463,1.06635439090326,0.202374313637353,123,1053,24503,185335,0.485698352729648
"15_03","all_other",0.70781301474107,0.579766140947131,0.857196879199841,0.000254184987352614,116,1238,24510,185150,0.00719398940231278
"15_07","all_other",1.08135394561247,0.66626059007869,1.68043134514837,0.729915039731099,23,161,24603,186227,0.884745502704363
"15_04","all_other",0,0,18.3235265989625,1,0,3,24626,186385,1
"20_10","all_other",1.58744232559878,1.17117151328288,2.11947588762802,0.0024990348218934,57,272,24569,186116,0.0272621980570189
"20_07","all_other",0.934179021632554,0.766581023308557,1.12996337147889,0.510067599298209,121,980,24505,185408,0.769913357431259
"20_13","all_other",1.05385783540698,0.80994799039864,1.35354008789308,0.650948449043359,71,510,24555,185878,0.855928567971457
"20_03","all_other",0.900299105131242,0.622019231584918,1.26889624274745,0.616007850382637,37,311,24589,186077,0.840010705067232
"20_11","all_other",0.681858277132626,0.539327653489698,0.85239157343003,0.000444629770605365,85,942,24541,185446,0.00970101317684434
"20_02","all_other",0.983069999793314,0.809565379491161,1.18526007977576,0.88755445866033,126,970,24500,185418,0.962245496023069
"20_01","all_other",0.974170429712061,0.789430688020666,1.19209818626475,0.839268358567395,108,839,24518,185549,0.953373702256387
"20_09","all_other",0.994134995782575,0.803744762913068,1.21913034055808,1,106,807,24520,185581,1
"20_05","all_other",0.832893281628991,0.644596240426935,1.06223118137609,0.150285733446628,73,663,24553,185725,0.406122764200094
"20_06","all_other",0.802087157845756,0.600788901739433,1.05311190081885,0.113070609305999,58,547,24568,185841,0.339456919636151
"20_12","all_other",0.90892531600461,0.646242842385515,1.24989948524202,0.64012140489606,43,358,24583,186030,0.84877976339809
"20_04","all_other",0.692752700063865,0.35992331944152,1.22338424536823,0.258505097337416,13,142,24613,186246,0.553939494294462
"20_08","all_other",1.26146625092042,0.027423536612705,10.3985099665866,0.580491237548074,1,6,24625,186382,0.829161988650212
"25_09","all_other",1.21715885240391,0.999014206412555,1.47264979269344,0.0481794348859541,125,778,24501,185610,0.211473259382243
"25_08","all_other",1.19496355773682,0.935959908984444,1.50927559186561,0.12957293012856,83,526,24543,185862,0.370208371795885
"25_10","all_other",0.652295967784828,0.503298586365289,0.833729647386028,0.000341443102619652,70,811,24556,185577,0.00819463446287164
"25_02","all_other",0.791634392372054,0.652224244443696,0.953658472857376,0.0122054457582795,124,1184,24502,185204,0.088766878242033
"25_01","all_other",0.881364032975747,0.711262363050225,1.08241981255508,0.252844618815091,103,884,24523,185504,0.550765792526466
"25_06","all_other",0.612281010130114,0.32779739081701,1.05569134805629,0.0862506434561188,14,173,24612,186215,0.288101432439387
"25_12","all_other",1.06960293684312,0.880694328536995,1.28996939008378,0.464922959959535,127,899,24499,185489,0.737251193771192
"25_07","all_other",0.907020876558277,0.708658626600987,1.14731154222022,0.455152393441379,79,659,24547,185729,0.737251193771192
"25_13","all_other",0.750907351302412,0.596725848404601,0.934881446932571,0.00959442933163023,89,896,24537,185492,0.0742205480650658
"25_03","all_other",1.2853644507533,1.00712489303527,1.62339639103195,0.0378187981839541,84,495,24542,185893,0.184122959625677
"25_11","all_other",0.688056689787943,0.0159845443935417,4.7343216521344,1,1,11,24625,186377,1
"25_04","all_other",0.896888940562775,0.601201173714919,1.29702745776531,0.65349038020092,32,270,24594,186118,0.855928567971457
"25_05","all_other",0.756828482140584,0.235486914601072,1.88689975109725,0.677582261881392,5,50,24621,186338,0.870925793465972
"30_03","all_other",0.751125492882781,0.600791099709586,0.929659037511867,0.00766785558538215,94,946,24532,185442,0.0634581151893695
"30_01","all_other",0.832712943481813,0.656314457594083,1.04465774032099,0.119735540373037,84,763,24542,185625,0.350445484018645
"30_11","all_other",1.09837543405968,0.907638635138106,1.32044515885232,0.309835145413151,132,910,24494,185478,0.609511761468493
"30_07","all_other",1.11271598950206,0.924010807688602,1.33158237142578,0.23612459037384,139,946,24487,185442,0.529625249436651
"30_08","all_other",0.788596184726775,0.616132864799922,0.997134397957294,0.0445676620212502,78,748,24548,185640,0.207695582219637
"30_05","all_other",1.2505304881827,1.02170333253364,1.51960462657217,0.0277146766741939,120,727,24506,185661,0.151170963677421
"30_13","all_other",1.11895057203537,0.868768323178589,1.42436232465283,0.37153449057669,77,521,24549,185867,0.685909828756965
"30_04","all_other",0.823734698338104,0.681096425576715,0.989110887098356,0.038358949922016,129,1184,24497,185204,0.184122959625677
"30_12","all_other",0.897857315334267,0.583877169843943,1.33197176428608,0.700829426467642,28,236,24598,186152,0.870925793465972
"30_09","all_other",1.15858929360508,0.909306767561264,1.46057422541401,0.214705476129595,84,549,24542,185839,0.505189355599048
"30_10","all_other",1.33627055169401,0.950582639829264,1.84083711572731,0.0864304297318161,45,255,24581,186133,0.288101432439387
"30_06","all_other",1.56607332881927,0.531548185116243,3.83943801024625,0.291723916307798,6,29,24620,186359,0.594584381765756
"30_02","all_other",0.660613568737399,0.321514817842679,1.22309736739229,0.229594791159226,11,126,24615,186262,0.529625249436651
"35_06","all_other",0.928441105161334,0.726377325547402,1.17306661759337,0.564416380175256,80,652,24546,185736,0.829161988650212
"35_01","all_other",1.31212157776245,1.09990506705803,1.55685154676021,0.00217314247165649,157,907,24469,185481,0.0272558542162412
"35_05","all_other",1.05358013546853,0.902834538490742,1.2240611641325,0.484645464980717,198,1423,24428,184965,0.755291633736183
"35_04","all_other",0.921083796118498,0.674564659808098,1.23435133527842,0.615277259202803,51,419,24575,185969,0.840010705067232
"35_10","all_other",1.23079957911037,1.06360897141015,1.41894055943668,0.00499930243826589,225,1386,24401,185002,0.0479933034073526
"35_03","all_other",1.09360231048656,0.92016495768451,1.29256104639988,0.29233732103483,160,1108,24466,185280,0.594584381765756
"35_02","all_other",0.96586954676485,0.767507292415935,1.20330520015614,0.825705309921603,91,713,24535,185675,0.952736896063388
"35_07","all_other",0.252262153792547,0.00618627509625502,1.51758209752371,0.254729179043491,1,30,24625,186358,0.550765792526466
"35_13","all_other",0.811550862676768,0.552064570489181,1.15828605323575,0.279170568903152,34,317,24592,186071,0.57759428048928
"35_12","all_other",1.13316053119942,0.712699270455268,1.73225616979296,0.573134876632732,25,167,24601,186221,0.829161988650212
"35_11","all_other",0.950829503665981,0.73464766035891,1.21498715272247,0.760264439350299,73,581,24553,185807,0.9089095632976
"35_08","all_other",1.1666414195895,0.838911888744697,1.59065171485256,0.318756442731657,47,305,24579,186083,0.616947953674175
"35_09","all_other",1.15459911796488,0.503243749356007,2.34400864137136,0.703986556687171,9,59,24617,186329,0.870925793465972
