"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"00_12","00_other",1.27646330627921,0.940944593683236,1.7062459498621,0.095959493797686,58,517,486,5530,0.462076000455374
"00_03","00_other",1.19203623946849,0.893533327416069,1.56990197049908,0.211607191684835,65,618,479,5429,0.634821575054504
"00_01","00_other",0.60875577878607,0.41024844962704,0.876520662208297,0.00543841346493761,33,580,511,5467,0.101190381495948
"00_09","00_other",0.879914776485221,0.655660680204403,1.16411857950467,0.415540785088025,61,759,483,5288,0.843113167892505
"00_07","00_other",0.944845993462211,0.689421413376153,1.27328493702588,0.76753883321733,53,620,491,5427,1
"00_02","00_other",1.61608536703504,1.17481830092704,2.18861019583653,0.00291768642587568,54,386,490,5661,0.0863862523972689
"00_08","00_other",0.761310850488957,0.548007568881663,1.03751359172508,0.0867240387042784,48,682,496,5365,0.442846155085677
"00_05","00_other",1.02319401425664,0.685681295650425,1.48296114312366,0.850330830789343,33,359,511,5688,1
"00_06","00_other",1.02993273992312,0.728546339312127,1.42588644180715,0.86801360782248,44,476,500,5571,1
"00_04","00_other",1.04066076884786,0.751763840694856,1.41495558772918,0.813367163249295,50,536,494,5511,1
"00_10","00_other",0.982029118305173,0.670011858047392,1.40174268869785,1,36,407,508,5640,1
"00_11","00_other",0.933886939345988,0.413327574423604,1.85425795549395,1,9,107,535,5940,1
"05_03","05_other",0.923810324663659,0.696918374805554,1.20857175301829,0.597079209182513,66,716,588,5893,0.956979126085007
"05_02","05_other",0.915697292814805,0.69617599025137,1.18962723030874,0.562912840340002,70,765,584,5844,0.937639268253037
"05_08","05_other",1.12342146982328,0.858600053138621,1.45345207110245,0.380409215388445,74,674,580,5935,0.81516260440381
"05_05","05_other",1.24171687698039,0.969070536166209,1.57695688365479,0.0820792158052187,89,744,565,5865,0.428904710769572
"05_01","05_other",0.945582567315472,0.707115191020761,1.24671746045631,0.732052562735003,62,659,592,5950,1
"05_10","05_other",1.3395375243179,1.0726338095777,1.6623634821057,0.00940439574948844,115,908,539,5701,0.125391943326513
"05_09","05_other",1.0053844715229,0.76376243652801,1.30738643292552,0.94708176689014,70,704,584,5905,1
"05_04","05_other",0.197503036629067,0.0716010435915594,0.437590336440087,5.51965155480862e-07,6,296,648,6313,0.000132471637315407
"05_06","05_other",0.55258483005583,0.368295345651868,0.802401305262829,0.00106181404353327,31,546,623,6063,0.0804911203844257
"05_07","05_other",1.26815344954082,0.936147057714721,1.69246039622277,0.114068599996641,58,471,596,6138,0.497898918285217
"05_11","05_other",1.04350111045454,0.537503088337752,1.86335216142968,0.880690051069055,13,126,641,6483,1
"10_02","10_other",1.08147669980742,0.856327549095976,1.35502853561222,0.485099499388264,100,877,613,5814,0.881999089796844
"10_11","10_other",1.05529071041392,0.855084705972908,1.29484066919391,0.601046089322934,127,1140,586,5551,0.956979126085007
"10_04","10_other",0.678953330373724,0.504564254552538,0.899322048596075,0.00590277225393027,58,772,655,5919,0.101190381495948
"10_05","10_other",1.23599723150808,0.947124722964175,1.595522881222,0.112615952424588,76,589,637,6102,0.497898918285217
"10_08","10_other",0.793578023394475,0.56793332965031,1.08646226278388,0.163589140400044,46,535,667,6156,0.56087705280015
"10_01","10_other",0.592325194533573,0.337780365250487,0.974106441238592,0.0388131898710302,17,265,696,6426,0.307419087406234
"10_12","10_other",0.798578729470895,0.588004678128973,1.06673557607997,0.135543108576709,55,634,658,6057,0.52295116997901
"10_03","10_other",1.13874608891737,0.91156603414971,1.41285016792514,0.236245666587316,112,941,601,5750,0.684792857606437
