"","V1","V2"
"1","cg00001593","5"
"2","cg00002810","6"
"3","cg00014118","4"
"4","cg00022054","4"
"5","cg00023024","10"
"6","cg00034433","2"
"7","cg00041014","11"
"8","cg00049709","12"
"9","cg00055603","9"
"10","cg00063456","5"
"11","cg00065569","5"
"12","cg00081251","2"
"13","cg00088183","6"
"14","cg00091004","5"
"15","cg00095214","9"
"16","cg00098451","4"
"17","cg00109293","10"
"18","cg00111948","2"
"19","cg00121374","9"
"20","cg00147850","10"
"21","cg00149213","6"
"22","cg00151565","12"
"23","cg00164894","10"
"24","cg00165631","6"
"25","cg00207921","9"
"26","cg00228689","9"
"27","cg00261668","8"
"28","cg00279406","6"
"29","cg00296652","10"
"30","cg00301726","8"
"31","cg00304076","11"
"32","cg00306838","11"
"33","cg00319312","11"
"34","cg00323313","7"
"35","cg00328058","8"
"36","cg00328597","9"
"37","cg00349071","10"
"38","cg00353844","12"
"39","cg00355656","8"
"40","cg00358936","9"
"41","cg00371239","6"
"42","cg00388905","4"
"43","cg00409816","10"
"44","cg00418943","6"
"45","cg00492873","6"
"46","cg00521428","10"
"47","cg00528191","12"
"48","cg00543406","6"
"49","cg00546971","12"
"50","cg00548143","6"
"51","cg00566187","5"
"52","cg00573584","12"
"53","cg00600854","8"
"54","cg00644823","6"
"55","cg00656728","4"
"56","cg00660168","5"
"57","cg00666446","6"
"58","cg00667048","10"
"59","cg00667647","6"
"60","cg00693837","8"
"61","cg00695760","4"
"62","cg00702647","6"
"63","cg00718029","5"
"64","cg00761129","12"
"65","cg00773060","10"
"66","cg00806138","8"
"67","cg00812303","2"
"68","cg00816406","9"
"69","cg00819142","8"
"70","cg00833688","8"
"71","cg00836308","8"
"72","cg00849570","8"
"73","cg00855461","11"
"74","cg00863309","11"
"75","cg00891459","2"
"76","cg00892397","5"
"77","cg00920799","7"
"78","cg00924685","4"
"79","cg00933788","5"
"80","cg00935967","10"
"81","cg00949753","6"
"82","cg00955904","8"
"83","cg00965121","6"
"84","cg00971737","3"
"85","cg00978505","12"
"86","cg00978570","8"
"87","cg00980060","4"
"88","cg01001098","6"
"89","cg01019262","9"
"90","cg01031251","8"
"91","cg01048751","7"
"92","cg01051698","12"
"93","cg01052200","7"
"94","cg01054023","6"
"95","cg01065697","9"
"96","cg01067151","6"
"97","cg01070250","3"
"98","cg01073765","8"
"99","cg01078174","12"
"100","cg01097950","10"
"101","cg01102193","10"
"102","cg01104277","10"
"103","cg01136232","6"
"104","cg01144933","6"
"105","cg01159288","2"
"106","cg01164686","9"
"107","cg01243544","2"
"108","cg01346152","6"
"109","cg01361248","5"
"110","cg01396034","2"
"111","cg01396102","11"
"112","cg01400822","8"
"113","cg01422881","6"
"114","cg01427362","9"
"115","cg01428928","9"
"116","cg01433766","2"
"117","cg01434679","12"
"118","cg01441698","4"
"119","cg01486686","8"
"120","cg01495321","6"
"121","cg01520454","10"
"122","cg01553935","10"
"123","cg01563741","5"
"124","cg01565985","4"
"125","cg01572884","7"
"126","cg01574673","6"
"127","cg01606029","5"
"128","cg01656970","5"
"129","cg01710351","6"
"130","cg01711322","8"
"131","cg01718365","6"
"132","cg01721822","9"
"133","cg01764046","9"
"134","cg01771213","11"
"135","cg01775082","6"
"136","cg01783650","8"
"137","cg01788396","4"
"138","cg01790353","9"
"139","cg01791587","6"
"140","cg01808320","11"
"141","cg01868367","8"
"142","cg01904642","4"
"143","cg01920487","12"
"144","cg01942927","2"
"145","cg01960686","10"
"146","cg01967416","11"
"147","cg01980735","10"
"148","cg01987224","4"
"149","cg01997629","2"
"150","cg02011124","4"
"151","cg02011351","3"
"152","cg02031308","12"
"153","cg02056921","6"
"154","cg02062816","10"
"155","cg02077165","2"
"156","cg02078626","10"
"157","cg02079463","12"
"158","cg02098923","6"
"159","cg02145411","2"
"160","cg02152128","6"
"161","cg02161115","9"
